studentID,name,birthDate,address,schoolCode,"P5_subject_scores (Chi,Eng,Math,GS,VA,Music,PE)","P6_subject_scores (Chi,Eng,Math,GS,VA,Music,PE)",applicationID,choicePartB (Top 3 Choices)
KT2025264,Ethan Gonzalez,09/10/2013,30 Lei Yue Mun,KTPS014,"35,55,71,68,37,95,1","60,49,52,5,18,63,72",APP2025264,"KTSS011,KTSS010,KTSS003,KTSS013,KTSS017,KTSS009,KTSS012,KTSS007,KTSS014,KTSS020,KTSS015,KTSS018,KTSS006,KTSS002,KTSS005,KTSS008,KTSS001,KTSS019,KTSS004,KTSS016"
KT2025265,Charlotte Jones,03/31/2013,12 Kwun Tong Rd,KTPS009,"70,44,63,88,21,98,91","85,16,21,73,84,0,37",APP2025265,"KTSS019,KTSS014,KTSS012,KTSS008,KTSS015,KTSS020,KTSS005,KTSS007,KTSS010,KTSS002,KTSS011,KTSS004,KTSS001,KTSS017,KTSS006,KTSS009,KTSS013,KTSS016,KTSS018,KTSS003"
KT2025266,Alexander Taylor,11/14/2013,75 Hoi Yuen Road,KTPS001,"23,83,62,88,71,79,72","15,17,31,40,51,78,67",APP2025266,"KTSS019,KTSS009,KTSS020,KTSS011,KTSS004,KTSS015,KTSS010,KTSS014,KTSS012,KTSS007,KTSS008,KTSS013,KTSS016,KTSS017,KTSS006,KTSS001,KTSS003,KTSS005,KTSS002,KTSS018"
KT2025267,Benjamin Rodriguez,12/08/2013,56 Kwun Tong Bypass,KTPS010,"21,60,69,4,54,44,43","7,82,37,19,82,47,95",APP2025267,"KTSS007,KTSS014,KTSS010,KTSS017,KTSS020,KTSS015,KTSS006,KTSS016,KTSS002,KTSS019,KTSS008,KTSS013,KTSS018,KTSS012,KTSS003,KTSS001,KTSS009,KTSS004,KTSS005,KTSS011"
KT2025268,John Taylor,05/22/2013,8 Hoi Yuen Road,KTPS012,"21,3,99,80,1,70,90","94,77,25,79,88,9,4",APP2025268,"KTSS003,KTSS008,KTSS005,KTSS011,KTSS015,KTSS012,KTSS001,KTSS016,KTSS013,KTSS019,KTSS010,KTSS018,KTSS020,KTSS006,KTSS009,KTSS004,KTSS002,KTSS017,KTSS007,KTSS014"
KT2025269,Benjamin Smith,07/10/2013,54 Kwun Tong Bypass,KTPS020,"82,30,65,21,99,52,4","70,28,74,14,75,51,63",APP2025269,"KTSS016,KTSS006,KTSS010,KTSS019,KTSS001,KTSS011,KTSS013,KTSS002,KTSS012,KTSS015,KTSS005,KTSS008,KTSS007,KTSS003,KTSS017,KTSS018,KTSS020,KTSS009,KTSS014,KTSS004"
KT2025270,Daniel Brown,09/01/2013,96 Tsui Ping Rd,KTPS001,"79,63,12,65,51,50,91","72,96,63,23,2,47,1",APP2025270,"KTSS014,KTSS019,KTSS018,KTSS006,KTSS020,KTSS001,KTSS009,KTSS008,KTSS004,KTSS016,KTSS012,KTSS010,KTSS013,KTSS011,KTSS003,KTSS002,KTSS017,KTSS007,KTSS005,KTSS015"
KT2025271,Mary Martinez,04/27/2013,26 Kwun Tong Bypass,KTPS019,"16,84,36,1,92,77,85","18,1,85,13,31,35,74",APP2025271,"KTSS003,KTSS006,KTSS002,KTSS018,KTSS012,KTSS011,KTSS019,KTSS013,KTSS016,KTSS017,KTSS015,KTSS009,KTSS014,KTSS007,KTSS005,KTSS020,KTSS008,KTSS001,KTSS004,KTSS010"
KT2025272,John Wilson,10/26/2013,64 Kwun Tong Rd,KTPS008,"32,24,79,53,66,85,61","81,23,5,47,80,90,74",APP2025272,"KTSS006,KTSS004,KTSS008,KTSS015,KTSS012,KTSS013,KTSS014,KTSS016,KTSS005,KTSS007,KTSS010,KTSS017,KTSS020,KTSS002,KTSS009,KTSS019,KTSS003,KTSS001,KTSS011,KTSS018"
KT2025273,Charlotte Brown,03/27/2013,77 Ngau Tau Kok Rd,KTPS013,"38,46,18,69,73,83,40","100,71,12,41,37,58,54",APP2025273,"KTSS020,KTSS013,KTSS019,KTSS007,KTSS005,KTSS010,KTSS002,KTSS015,KTSS003,KTSS006,KTSS011,KTSS004,KTSS012,KTSS001,KTSS018,KTSS016,KTSS009,KTSS014,KTSS017,KTSS008"
KT2025274,Amelia Johnson,08/15/2013,16 Tsui Ping Rd,KTPS006,"60,59,1,81,72,20,67","34,95,20,29,9,77,82",APP2025274,"KTSS020,KTSS016,KTSS017,KTSS003,KTSS009,KTSS012,KTSS013,KTSS014,KTSS018,KTSS001,KTSS019,KTSS015,KTSS004,KTSS011,KTSS006,KTSS005,KTSS007,KTSS010,KTSS002,KTSS008"
KT2025275,Charlotte Thomas,05/19/2013,66 Kwun Tong Bypass,KTPS014,"82,12,40,41,29,94,95","6,29,62,97,20,13,13",APP2025275,"KTSS003,KTSS014,KTSS005,KTSS012,KTSS001,KTSS020,KTSS011,KTSS018,KTSS015,KTSS013,KTSS009,KTSS010,KTSS002,KTSS017,KTSS016,KTSS019,KTSS006,KTSS007,KTSS008,KTSS004"
KT2025276,Charlotte Brown,10/20/2013,17 Lam Tin Road,KTPS007,"91,74,5,13,87,1,18","80,50,92,79,20,22,97",APP2025276,"KTSS004,KTSS018,KTSS015,KTSS007,KTSS009,KTSS005,KTSS010,KTSS006,KTSS008,KTSS020,KTSS002,KTSS001,KTSS019,KTSS013,KTSS011,KTSS012,KTSS003,KTSS017,KTSS016,KTSS014"
KT2025277,John Johnson,09/12/2013,14 Lam Tin Road,KTPS007,"51,55,46,16,61,3,79","15,100,36,98,4,21,88",APP2025277,"KTSS020,KTSS012,KTSS011,KTSS014,KTSS018,KTSS007,KTSS006,KTSS008,KTSS003,KTSS015,KTSS016,KTSS004,KTSS010,KTSS019,KTSS013,KTSS001,KTSS005,KTSS009,KTSS002,KTSS017"
KT2025278,Olivia Jackson,03/04/2013,38 Kwun Tong Rd,KTPS006,"44,4,5,99,78,14,97","27,17,97,4,80,59,47",APP2025278,"KTSS020,KTSS017,KTSS006,KTSS010,KTSS004,KTSS001,KTSS005,KTSS016,KTSS013,KTSS019,KTSS007,KTSS011,KTSS003,KTSS015,KTSS012,KTSS018,KTSS009,KTSS002,KTSS014,KTSS008"
KT2025279,Olivia Williams,04/11/2013,43 Lam Tin Road,KTPS005,"88,34,34,64,100,28,45","16,89,100,54,8,36,80",APP2025279,"KTSS002,KTSS008,KTSS009,KTSS007,KTSS006,KTSS010,KTSS011,KTSS020,KTSS013,KTSS019,KTSS003,KTSS005,KTSS015,KTSS004,KTSS014,KTSS017,KTSS016,KTSS001,KTSS012,KTSS018"
KT2025280,David Garcia,05/03/2013,85 Kwun Tong Rd,KTPS018,"77,15,97,4,42,56,53","64,32,70,77,1,75,31",APP2025280,"KTSS018,KTSS008,KTSS016,KTSS017,KTSS005,KTSS015,KTSS002,KTSS010,KTSS001,KTSS003,KTSS020,KTSS013,KTSS004,KTSS012,KTSS011,KTSS014,KTSS006,KTSS009,KTSS019,KTSS007"
KT2025281,Matthew Anderson,05/04/2013,63 Lam Tin Road,KTPS019,"63,35,60,33,63,69,11","47,58,5,34,53,100,20",APP2025281,"KTSS010,KTSS014,KTSS017,KTSS002,KTSS013,KTSS020,KTSS011,KTSS006,KTSS007,KTSS005,KTSS015,KTSS004,KTSS009,KTSS012,KTSS008,KTSS001,KTSS018,KTSS003,KTSS016,KTSS019"
KT2025282,Mia Jackson,01/17/2013,28 Sau Mau Ping,KTPS014,"68,7,41,33,18,57,100","72,46,25,5,86,87,92",APP2025282,"KTSS013,KTSS014,KTSS004,KTSS007,KTSS001,KTSS009,KTSS003,KTSS002,KTSS011,KTSS016,KTSS006,KTSS018,KTSS015,KTSS010,KTSS020,KTSS019,KTSS008,KTSS005,KTSS017,KTSS012"
KT2025283,Olivia Thomas,11/26/2013,35 Kwun Tong Bypass,KTPS013,"15,65,16,25,72,27,40","51,17,37,23,60,22,6",APP2025283,"KTSS011,KTSS008,KTSS006,KTSS009,KTSS018,KTSS012,KTSS019,KTSS010,KTSS007,KTSS017,KTSS001,KTSS002,KTSS014,KTSS003,KTSS020,KTSS015,KTSS005,KTSS016,KTSS004,KTSS013"
KT2025284,Sophia Lopez,02/05/2013,45 Lei Yue Mun,KTPS008,"42,45,83,56,7,87,88","30,7,84,8,81,26,41",APP2025284,"KTSS017,KTSS001,KTSS007,KTSS020,KTSS009,KTSS013,KTSS005,KTSS019,KTSS018,KTSS015,KTSS008,KTSS010,KTSS006,KTSS002,KTSS012,KTSS003,KTSS004,KTSS014,KTSS011,KTSS016"
KT2025285,Michael Miller,09/16/2013,32 Sau Mau Ping,KTPS011,"66,55,10,10,73,92,84","40,78,73,27,96,11,22",APP2025285,"KTSS011,KTSS019,KTSS009,KTSS001,KTSS008,KTSS014,KTSS005,KTSS004,KTSS002,KTSS006,KTSS018,KTSS013,KTSS003,KTSS007,KTSS010,KTSS017,KTSS015,KTSS020,KTSS016,KTSS012"
KT2025286,John Smith,11/22/2013,48 Lei Yue Mun,KTPS010,"49,69,89,95,97,89,3","90,82,1,12,29,6,85",APP2025286,"KTSS003,KTSS004,KTSS017,KTSS020,KTSS010,KTSS012,KTSS007,KTSS005,KTSS013,KTSS015,KTSS016,KTSS001,KTSS008,KTSS002,KTSS019,KTSS006,KTSS011,KTSS009,KTSS014,KTSS018"
KT2025287,Daniel Gonzalez,10/08/2013,97 Lam Tin Road,KTPS019,"32,95,14,91,82,26,3","11,93,82,99,39,70,4",APP2025287,"KTSS003,KTSS012,KTSS006,KTSS016,KTSS019,KTSS020,KTSS013,KTSS017,KTSS015,KTSS014,KTSS010,KTSS004,KTSS011,KTSS009,KTSS002,KTSS008,KTSS018,KTSS001,KTSS005,KTSS007"
KT2025288,Ethan Johnson,08/12/2013,80 Ngau Tau Kok Rd,KTPS019,"60,19,77,82,79,57,100","20,62,29,41,20,9,85",APP2025288,"KTSS017,KTSS018,KTSS019,KTSS009,KTSS002,KTSS016,KTSS001,KTSS004,KTSS010,KTSS005,KTSS006,KTSS014,KTSS011,KTSS013,KTSS020,KTSS003,KTSS012,KTSS015,KTSS007,KTSS008"
KT2025289,James Wilson,12/20/2013,17 Lei Yue Mun,KTPS018,"3,62,24,37,29,26,90","58,35,50,12,71,1,81",APP2025289,"KTSS020,KTSS003,KTSS005,KTSS012,KTSS019,KTSS008,KTSS015,KTSS007,KTSS013,KTSS017,KTSS016,KTSS010,KTSS002,KTSS009,KTSS014,KTSS004,KTSS011,KTSS018,KTSS006,KTSS001"
KT2025290,Harper Wilson,12/11/2013,19 Kowloon Bay,KTPS010,"59,96,35,37,24,25,28","55,60,76,11,83,15,72",APP2025290,"KTSS009,KTSS017,KTSS013,KTSS010,KTSS002,KTSS008,KTSS005,KTSS011,KTSS006,KTSS007,KTSS012,KTSS003,KTSS016,KTSS020,KTSS001,KTSS019,KTSS004,KTSS014,KTSS015,KTSS018"
KT2025291,James Taylor,03/20/2013,11 Kwun Tong Bypass,KTPS004,"51,48,8,77,82,97,34","82,46,36,38,42,19,53",APP2025291,"KTSS011,KTSS004,KTSS003,KTSS016,KTSS010,KTSS013,KTSS007,KTSS006,KTSS014,KTSS020,KTSS009,KTSS018,KTSS008,KTSS001,KTSS017,KTSS002,KTSS005,KTSS015,KTSS019,KTSS012"
KT2025292,Matthew Taylor,09/23/2013,43 Kwun Tong Rd,KTPS003,"100,86,12,15,44,26,100","97,92,56,1,66,78,40",APP2025292,"KTSS010,KTSS004,KTSS020,KTSS014,KTSS011,KTSS009,KTSS017,KTSS006,KTSS002,KTSS018,KTSS005,KTSS001,KTSS015,KTSS019,KTSS003,KTSS007,KTSS013,KTSS008,KTSS016,KTSS012"
KT2025293,Amelia Lopez,10/17/2013,80 Hoi Yuen Road,KTPS004,"32,19,42,39,20,6,19","7,5,37,58,38,8,45",APP2025293,"KTSS011,KTSS004,KTSS009,KTSS002,KTSS006,KTSS008,KTSS015,KTSS003,KTSS019,KTSS010,KTSS018,KTSS007,KTSS020,KTSS014,KTSS013,KTSS016,KTSS005,KTSS017,KTSS012,KTSS001"
KT2025294,David Johnson,04/06/2013,94 Kwun Tong Bypass,KTPS020,"13,3,51,81,50,64,45","71,11,33,68,60,40,48",APP2025294,"KTSS004,KTSS017,KTSS002,KTSS011,KTSS013,KTSS018,KTSS007,KTSS006,KTSS003,KTSS005,KTSS014,KTSS001,KTSS015,KTSS019,KTSS016,KTSS020,KTSS009,KTSS008,KTSS010,KTSS012"
KT2025295,Alexander Martin,02/01/2013,46 Tsui Ping Rd,KTPS007,"28,58,94,97,6,77,74","57,10,19,69,15,6,86",APP2025295,"KTSS003,KTSS004,KTSS010,KTSS020,KTSS014,KTSS008,KTSS007,KTSS018,KTSS013,KTSS009,KTSS019,KTSS012,KTSS015,KTSS002,KTSS017,KTSS005,KTSS006,KTSS016,KTSS011,KTSS001"
KT2025296,Emily Jones,01/02/2013,12 Lam Tin Road,KTPS005,"42,18,15,20,47,77,91","72,12,26,38,44,94,58",APP2025296,"KTSS006,KTSS015,KTSS007,KTSS019,KTSS005,KTSS003,KTSS012,KTSS004,KTSS018,KTSS010,KTSS008,KTSS014,KTSS002,KTSS013,KTSS001,KTSS020,KTSS016,KTSS017,KTSS011,KTSS009"
KT2025297,James Smith,04/03/2013,28 Lam Tin Road,KTPS016,"17,81,39,30,99,88,3","32,68,34,80,67,56,17",APP2025297,"KTSS012,KTSS007,KTSS004,KTSS017,KTSS016,KTSS006,KTSS020,KTSS005,KTSS010,KTSS009,KTSS011,KTSS001,KTSS003,KTSS002,KTSS019,KTSS013,KTSS018,KTSS008,KTSS014,KTSS015"
KT2025298,Benjamin Rodriguez,09/27/2013,90 Sau Mau Ping,KTPS015,"43,27,50,34,18,71,86","92,85,90,87,28,21,19",APP2025298,"KTSS008,KTSS005,KTSS013,KTSS016,KTSS006,KTSS018,KTSS020,KTSS015,KTSS003,KTSS009,KTSS007,KTSS017,KTSS011,KTSS012,KTSS019,KTSS001,KTSS002,KTSS010,KTSS004,KTSS014"
KT2025299,James Hernandez,01/28/2013,33 Hoi Yuen Road,KTPS019,"93,60,68,34,24,8,47","96,47,75,93,20,89,36",APP2025299,"KTSS005,KTSS014,KTSS004,KTSS020,KTSS011,KTSS015,KTSS003,KTSS007,KTSS002,KTSS008,KTSS006,KTSS009,KTSS017,KTSS016,KTSS019,KTSS010,KTSS012,KTSS018,KTSS013,KTSS001"
KT2025300,John Smith,01/05/2013,55 Ngau Tau Kok Rd,KTPS013,"8,22,56,30,27,99,40","54,50,87,55,99,94,7",APP2025300,"KTSS014,KTSS009,KTSS019,KTSS012,KTSS017,KTSS005,KTSS010,KTSS011,KTSS016,KTSS006,KTSS015,KTSS003,KTSS004,KTSS002,KTSS007,KTSS001,KTSS008,KTSS020,KTSS013,KTSS018"
KT2025301,Mia Wilson,09/13/2013,33 Hoi Yuen Road,KTPS007,"79,68,9,98,71,53,39","42,84,16,37,27,81,25",APP2025301,"KTSS018,KTSS010,KTSS011,KTSS004,KTSS001,KTSS016,KTSS015,KTSS020,KTSS009,KTSS005,KTSS002,KTSS017,KTSS006,KTSS007,KTSS003,KTSS014,KTSS013,KTSS008,KTSS012,KTSS019"
KT2025302,Sophia Davis,10/07/2013,45 Kwun Tong Rd,KTPS005,"65,13,71,16,67,40,55","26,41,73,41,25,92,4",APP2025302,"KTSS009,KTSS020,KTSS013,KTSS005,KTSS012,KTSS015,KTSS016,KTSS010,KTSS007,KTSS003,KTSS004,KTSS019,KTSS008,KTSS011,KTSS006,KTSS018,KTSS001,KTSS002,KTSS014,KTSS017"
KT2025303,Harper Smith,01/15/2013,59 Yau Tong Bay,KTPS004,"30,83,14,39,52,14,28","84,73,42,47,35,2,19",APP2025303,"KTSS013,KTSS007,KTSS018,KTSS009,KTSS019,KTSS016,KTSS001,KTSS010,KTSS002,KTSS004,KTSS006,KTSS003,KTSS008,KTSS012,KTSS014,KTSS011,KTSS005,KTSS017,KTSS015,KTSS020"
KT2025304,Sarah Jones,01/30/2013,64 Kwun Tong Rd,KTPS006,"91,33,45,78,99,29,98","32,69,10,60,84,26,76",APP2025304,"KTSS019,KTSS013,KTSS010,KTSS020,KTSS006,KTSS012,KTSS002,KTSS014,KTSS005,KTSS011,KTSS017,KTSS016,KTSS001,KTSS004,KTSS009,KTSS008,KTSS018,KTSS003,KTSS015,KTSS007"
KT2025305,Sarah Taylor,01/20/2013,68 Kowloon Bay,KTPS006,"28,71,31,74,84,47,100","62,29,38,10,76,38,76",APP2025305,"KTSS009,KTSS002,KTSS018,KTSS011,KTSS005,KTSS001,KTSS003,KTSS012,KTSS015,KTSS019,KTSS014,KTSS006,KTSS008,KTSS020,KTSS010,KTSS013,KTSS016,KTSS017,KTSS004,KTSS007"
KT2025306,Harper Brown,04/18/2013,71 Sau Mau Ping,KTPS018,"88,57,9,14,29,56,53","94,73,62,84,64,55,11",APP2025306,"KTSS014,KTSS012,KTSS020,KTSS016,KTSS011,KTSS009,KTSS002,KTSS004,KTSS013,KTSS008,KTSS018,KTSS006,KTSS005,KTSS007,KTSS001,KTSS010,KTSS015,KTSS019,KTSS017,KTSS003"
KT2025307,William Jackson,01/10/2013,76 Lei Yue Mun,KTPS003,"96,9,18,76,71,61,85","46,66,80,30,1,9,24",APP2025307,"KTSS016,KTSS014,KTSS010,KTSS011,KTSS009,KTSS008,KTSS007,KTSS002,KTSS015,KTSS017,KTSS018,KTSS012,KTSS013,KTSS006,KTSS003,KTSS001,KTSS005,KTSS019,KTSS004,KTSS020"
KT2025308,Benjamin Smith,12/11/2013,68 Kwun Tong Rd,KTPS017,"69,26,52,71,64,72,19","96,69,9,70,14,70,73",APP2025308,"KTSS003,KTSS008,KTSS019,KTSS004,KTSS009,KTSS017,KTSS015,KTSS016,KTSS010,KTSS006,KTSS018,KTSS020,KTSS014,KTSS007,KTSS001,KTSS005,KTSS013,KTSS002,KTSS011,KTSS012"
KT2025309,Olivia Davis,10/29/2013,76 Kowloon Bay,KTPS011,"14,77,24,57,71,62,72","54,85,81,46,33,95,25",APP2025309,"KTSS002,KTSS015,KTSS016,KTSS012,KTSS010,KTSS001,KTSS014,KTSS011,KTSS009,KTSS006,KTSS003,KTSS008,KTSS004,KTSS005,KTSS017,KTSS013,KTSS018,KTSS020,KTSS007,KTSS019"
KT2025310,Harper Miller,05/14/2013,26 Kwun Tong Bypass,KTPS014,"79,42,2,47,91,62,65","100,91,22,100,30,42,75",APP2025310,"KTSS015,KTSS004,KTSS016,KTSS009,KTSS011,KTSS010,KTSS020,KTSS007,KTSS006,KTSS019,KTSS005,KTSS001,KTSS003,KTSS013,KTSS017,KTSS008,KTSS012,KTSS018,KTSS014,KTSS002"
KT2025311,Matthew Davis,09/20/2013,8 Kwun Tong Rd,KTPS018,"88,59,92,92,27,95,93","67,6,80,2,34,17,32",APP2025311,"KTSS019,KTSS001,KTSS020,KTSS002,KTSS014,KTSS006,KTSS013,KTSS011,KTSS005,KTSS009,KTSS003,KTSS012,KTSS008,KTSS010,KTSS004,KTSS015,KTSS017,KTSS007,KTSS016,KTSS018"
KT2025312,Sarah Jones,03/10/2013,22 Hoi Yuen Road,KTPS013,"79,27,73,45,86,52,77","91,87,77,78,46,75,22",APP2025312,"KTSS006,KTSS008,KTSS013,KTSS018,KTSS020,KTSS004,KTSS014,KTSS002,KTSS007,KTSS005,KTSS012,KTSS009,KTSS003,KTSS015,KTSS016,KTSS019,KTSS001,KTSS011,KTSS017,KTSS010"
KT2025313,Charlotte Garcia,04/06/2013,28 Sau Mau Ping,KTPS018,"39,61,6,88,37,24,22","23,9,66,6,7,99,43",APP2025313,"KTSS001,KTSS015,KTSS019,KTSS006,KTSS012,KTSS002,KTSS020,KTSS011,KTSS010,KTSS007,KTSS003,KTSS016,KTSS009,KTSS004,KTSS005,KTSS017,KTSS008,KTSS018,KTSS013,KTSS014"
KT2025314,Mia Rodriguez,05/19/2013,5 Ngau Tau Kok Rd,KTPS013,"43,34,50,16,38,72,56","65,76,35,96,19,18,41",APP2025314,"KTSS006,KTSS018,KTSS015,KTSS007,KTSS002,KTSS008,KTSS016,KTSS005,KTSS019,KTSS013,KTSS012,KTSS001,KTSS004,KTSS014,KTSS009,KTSS017,KTSS010,KTSS020,KTSS011,KTSS003"
KT2025315,William Davis,10/07/2013,48 Kowloon Bay,KTPS010,"92,43,60,36,19,84,75","90,19,17,37,20,38,33",APP2025315,"KTSS013,KTSS008,KTSS018,KTSS010,KTSS002,KTSS016,KTSS014,KTSS015,KTSS012,KTSS005,KTSS011,KTSS009,KTSS004,KTSS007,KTSS006,KTSS001,KTSS020,KTSS003,KTSS017,KTSS019"
KT2025316,Mia Wilson,10/26/2013,87 Kwun Tong Bypass,KTPS005,"20,68,7,64,52,51,4","64,48,75,89,18,84,96",APP2025316,"KTSS012,KTSS010,KTSS009,KTSS002,KTSS001,KTSS005,KTSS003,KTSS014,KTSS016,KTSS013,KTSS004,KTSS015,KTSS020,KTSS006,KTSS011,KTSS017,KTSS008,KTSS007,KTSS019,KTSS018"
KT2025317,Alexander Williams,07/14/2013,70 Lei Yue Mun,KTPS016,"58,84,47,10,31,36,51","45,46,90,30,97,16,14",APP2025317,"KTSS019,KTSS016,KTSS002,KTSS018,KTSS012,KTSS003,KTSS014,KTSS008,KTSS010,KTSS005,KTSS009,KTSS015,KTSS007,KTSS017,KTSS013,KTSS011,KTSS020,KTSS001,KTSS004,KTSS006"
KT2025318,David Davis,12/06/2013,89 Lei Yue Mun,KTPS010,"92,41,85,33,33,1,21","56,79,15,43,38,0,53",APP2025318,"KTSS013,KTSS005,KTSS001,KTSS008,KTSS009,KTSS007,KTSS002,KTSS010,KTSS012,KTSS003,KTSS011,KTSS020,KTSS019,KTSS017,KTSS015,KTSS006,KTSS014,KTSS018,KTSS016,KTSS004"
KT2025319,Sophia Taylor,04/18/2013,26 Hoi Yuen Road,KTPS019,"56,66,80,74,60,53,99","1,16,34,95,80,31,89",APP2025319,"KTSS012,KTSS016,KTSS004,KTSS003,KTSS013,KTSS006,KTSS007,KTSS009,KTSS010,KTSS001,KTSS017,KTSS015,KTSS020,KTSS019,KTSS011,KTSS002,KTSS018,KTSS014,KTSS005,KTSS008"
KT2025320,Charlotte Brown,04/13/2013,58 Yau Tong Bay,KTPS002,"21,51,28,43,91,7,90","12,53,13,31,92,69,75",APP2025320,"KTSS008,KTSS013,KTSS019,KTSS017,KTSS018,KTSS007,KTSS015,KTSS004,KTSS006,KTSS003,KTSS020,KTSS016,KTSS014,KTSS005,KTSS002,KTSS010,KTSS011,KTSS012,KTSS001,KTSS009"
KT2025321,Sophia Rodriguez,07/19/2013,10 Yau Tong Bay,KTPS016,"91,21,64,52,63,81,10","1,29,35,69,89,22,54",APP2025321,"KTSS006,KTSS013,KTSS008,KTSS003,KTSS019,KTSS011,KTSS001,KTSS016,KTSS005,KTSS014,KTSS004,KTSS015,KTSS018,KTSS017,KTSS007,KTSS002,KTSS009,KTSS020,KTSS012,KTSS010"
KT2025322,Harper Wilson,10/30/2013,71 Lam Tin Road,KTPS012,"6,69,22,92,45,80,92","28,24,28,88,39,60,58",APP2025322,"KTSS012,KTSS013,KTSS002,KTSS019,KTSS014,KTSS006,KTSS018,KTSS003,KTSS016,KTSS007,KTSS004,KTSS011,KTSS017,KTSS005,KTSS008,KTSS020,KTSS010,KTSS001,KTSS015,KTSS009"
KT2025323,Isabella Anderson,03/19/2013,21 Ngau Tau Kok Rd,KTPS014,"13,9,74,52,27,48,85","97,16,89,10,74,52,40",APP2025323,"KTSS001,KTSS020,KTSS019,KTSS012,KTSS007,KTSS015,KTSS009,KTSS018,KTSS014,KTSS011,KTSS016,KTSS017,KTSS002,KTSS006,KTSS008,KTSS010,KTSS013,KTSS004,KTSS003,KTSS005"
KT2025324,David Jones,08/16/2013,96 Lam Tin Road,KTPS017,"15,17,63,38,32,80,84","6,73,98,95,90,52,13",APP2025324,"KTSS019,KTSS011,KTSS008,KTSS012,KTSS006,KTSS010,KTSS009,KTSS007,KTSS001,KTSS016,KTSS018,KTSS004,KTSS014,KTSS003,KTSS013,KTSS017,KTSS020,KTSS002,KTSS005,KTSS015"
KT2025325,Daniel Lopez,06/25/2013,1 Hoi Yuen Road,KTPS015,"28,5,75,76,0,70,78","57,79,86,93,71,53,85",APP2025325,"KTSS019,KTSS012,KTSS017,KTSS006,KTSS004,KTSS009,KTSS013,KTSS002,KTSS014,KTSS007,KTSS005,KTSS020,KTSS003,KTSS016,KTSS001,KTSS010,KTSS018,KTSS015,KTSS011,KTSS008"
KT2025326,James Davis,09/20/2013,24 Hoi Yuen Road,KTPS016,"88,18,9,76,98,64,0","41,59,10,99,58,71,33",APP2025326,"KTSS016,KTSS004,KTSS003,KTSS010,KTSS015,KTSS002,KTSS008,KTSS020,KTSS014,KTSS005,KTSS013,KTSS019,KTSS006,KTSS001,KTSS018,KTSS007,KTSS017,KTSS012,KTSS009,KTSS011"
KT2025327,Amelia Moore,08/01/2013,74 Lei Yue Mun,KTPS010,"69,36,80,56,46,31,23","66,45,31,74,12,26,47",APP2025327,"KTSS004,KTSS015,KTSS005,KTSS009,KTSS010,KTSS001,KTSS018,KTSS014,KTSS019,KTSS020,KTSS016,KTSS013,KTSS008,KTSS011,KTSS017,KTSS006,KTSS003,KTSS007,KTSS012,KTSS002"
KT2025328,Daniel Moore,04/05/2013,45 Ngau Tau Kok Rd,KTPS001,"89,37,86,31,70,76,70","43,69,7,61,64,24,75",APP2025328,"KTSS001,KTSS017,KTSS013,KTSS018,KTSS016,KTSS005,KTSS010,KTSS004,KTSS006,KTSS019,KTSS012,KTSS011,KTSS009,KTSS007,KTSS015,KTSS008,KTSS002,KTSS003,KTSS020,KTSS014"
KT2025329,Matthew Anderson,07/17/2013,54 Lam Tin Road,KTPS015,"55,38,9,97,61,47,91","57,59,34,2,5,73,45",APP2025329,"KTSS006,KTSS012,KTSS013,KTSS003,KTSS016,KTSS020,KTSS002,KTSS005,KTSS011,KTSS004,KTSS008,KTSS001,KTSS015,KTSS007,KTSS009,KTSS014,KTSS019,KTSS018,KTSS017,KTSS010"
KT2025330,Harper Moore,07/24/2013,71 Ngau Tau Kok Rd,KTPS006,"81,21,41,96,29,15,68","78,18,93,41,98,54,66",APP2025330,"KTSS012,KTSS016,KTSS018,KTSS001,KTSS020,KTSS003,KTSS015,KTSS009,KTSS002,KTSS008,KTSS006,KTSS007,KTSS013,KTSS010,KTSS014,KTSS004,KTSS011,KTSS017,KTSS005,KTSS019"
KT2025331,Benjamin Davis,02/16/2013,32 Yau Tong Bay,KTPS018,"95,10,19,15,44,27,15","15,16,1,18,66,24,78",APP2025331,"KTSS017,KTSS010,KTSS011,KTSS004,KTSS005,KTSS018,KTSS007,KTSS013,KTSS014,KTSS008,KTSS019,KTSS002,KTSS016,KTSS012,KTSS006,KTSS009,KTSS001,KTSS003,KTSS015,KTSS020"
KT2025332,Emily Rodriguez,09/08/2013,59 Ngau Tau Kok Rd,KTPS010,"70,83,80,18,42,76,90","81,92,13,45,69,86,75",APP2025332,"KTSS011,KTSS004,KTSS003,KTSS018,KTSS016,KTSS017,KTSS010,KTSS006,KTSS005,KTSS008,KTSS013,KTSS002,KTSS001,KTSS020,KTSS012,KTSS019,KTSS009,KTSS014,KTSS007,KTSS015"
KT2025333,Mary Gonzalez,10/07/2013,87 Lam Tin Road,KTPS020,"37,5,43,82,62,17,88","8,34,59,92,88,15,18",APP2025333,"KTSS013,KTSS019,KTSS005,KTSS010,KTSS001,KTSS012,KTSS002,KTSS011,KTSS006,KTSS017,KTSS020,KTSS007,KTSS014,KTSS009,KTSS016,KTSS003,KTSS008,KTSS018,KTSS004,KTSS015"
